scene;frame;bruteforce;smartforce;nodes;edges
scene-0061;0;0.3832;0.0034;70;2415
scene-0061;1;0.4859;0.0031;81;3218
scene-0061;2;0.5947;0.0044;90;3956
scene-0061;3;0.7053;0.0050;99;4766
scene-0061;4;0.8382;0.0064;109;5751
scene-0061;5;0.8352;0.0064;111;5956
scene-0061;6;0.9740;0.0071;120;6910
scene-0061;7;1.2283;0.0086;129;7936
scene-0061;8;1.2592;0.0091;133;8410
scene-0061;9;1.3725;0.0098;139;9139
scene-0061;10;1.4300;0.0124;144;9764
scene-0061;11;1.5025;0.0113;147;10148
scene-0061;12;1.4051;0.0128;155;11208
scene-0061;13;1.3983;0.0111;158;11616
scene-0061;14;1.4675;0.0122;165;12582
scene-0061;15;1.4582;0.0118;170;13287
scene-0061;16;1.6360;0.0132;175;14012
scene-0061;17;1.7423;0.0137;179;14598
scene-0061;18;1.6476;0.0142;184;15348
scene-0061;19;1.8047;0.0140;191;16419
scene-0061;20;1.6377;0.0124;193;16726
scene-0061;21;1.5630;0.0127;196;17176
scene-0061;22;1.5408;0.0130;200;17762
scene-0061;23;1.4312;0.0116;204;18332
scene-0061;24;1.3082;0.0109;207;18737
scene-0061;25;1.1061;0.0093;207;18737
scene-0061;26;1.0671;0.0097;207;18737
scene-0061;27;1.0579;0.0100;209;18980
scene-0061;28;1.0417;0.0088;212;19346
scene-0061;29;1.0573;0.0095;214;19595
scene-0061;30;0.9497;0.0090;215;19714
scene-0061;31;0.9257;0.0083;216;19830
scene-0061;32;0.9083;0.0091;219;20166
scene-0061;33;1.0008;0.0088;222;20502
scene-0061;34;0.7794;0.0075;223;20609
scene-0061;35;0.7092;0.0070;223;20609
scene-0061;36;0.6166;0.0064;224;20704
scene-0061;37;0.5117;0.0055;226;20877
scene-0103;0;0.0399;0.0003;24;276
scene-0103;1;0.0688;0.0005;31;465
scene-0103;2;0.0856;0.0006;34;561
scene-0103;3;0.1126;0.0012;39;741
scene-0103;4;0.1166;0.0009;45;960
scene-0103;5;0.1496;0.0014;51;1209
scene-0103;6;0.1595;0.0012;53;1298
scene-0103;7;0.1983;0.0018;58;1538
scene-0103;8;0.1853;0.0015;58;1538
scene-0103;9;0.1837;0.0014;59;1587
scene-0103;10;0.1798;0.0018;60;1635
scene-0103;11;0.1487;0.0012;61;1679
scene-0103;12;0.1550;0.0017;65;1853
scene-0103;13;0.1773;0.0014;68;1994
scene-0103;14;0.1842;0.0014;71;2138
scene-0103;15;0.1934;0.0021;72;2188
scene-0103;16;0.1837;0.0015;73;2237
scene-0103;17;0.2311;0.0018;79;2546
scene-0103;18;0.2305;0.0023;80;2601
scene-0103;19;0.2465;0.0023;82;2714
scene-0103;20;0.2828;0.0023;87;3009
scene-0103;21;0.3016;0.0026;89;3132
scene-0103;22;0.3134;0.0030;91;3257
scene-0103;23;0.3212;0.0029;91;3257
scene-0103;24;0.3269;0.0030;94;3446
scene-0103;25;0.3330;0.0042;96;3575
scene-0103;26;0.3503;0.0032;97;3640
scene-0103;27;0.3368;0.0032;98;3703
scene-0103;28;0.3497;0.0035;99;3767
scene-0103;29;0.3389;0.0033;99;3767
scene-0103;30;0.3719;0.0036;102;3956
scene-0103;31;0.3272;0.0032;103;4020
scene-0103;32;0.2420;0.0023;103;4020
scene-0103;33;0.2311;0.0024;107;4242
scene-0103;34;0.2255;0.0018;109;4355
scene-0103;35;0.2307;0.0019;113;4581
scene-0103;36;0.2050;0.0017;113;4581
scene-0103;37;0.2169;0.0022;116;4743
scene-0103;38;0.1691;0.0019;118;4840
scene-0553;0;0.1189;0.0009;41;820
scene-0553;1;0.1481;0.0009;45;990
scene-0553;2;0.1675;0.0011;47;1081
scene-0553;3;0.1697;0.0012;47;1081
scene-0553;4;0.1714;0.0011;47;1081
scene-0553;5;0.1799;0.0011;47;1081
scene-0553;6;0.1891;0.0013;48;1128
scene-0553;7;0.1981;0.0016;49;1176
scene-0553;8;0.2188;0.0015;51;1275
scene-0553;9;0.2573;0.0015;51;1275
scene-0553;10;0.2400;0.0017;53;1376
scene-0553;11;0.2328;0.0016;53;1376
scene-0553;12;0.2257;0.0021;53;1376
scene-0553;13;0.2257;0.0015;53;1376
scene-0553;14;0.2414;0.0016;54;1428
scene-0553;15;0.2475;0.0021;55;1481
scene-0553;16;0.2294;0.0017;55;1481
scene-0553;17;0.2178;0.0015;55;1481
scene-0553;18;0.1938;0.0017;55;1481
scene-0553;19;0.1829;0.0012;55;1481
scene-0553;20;0.1815;0.0013;55;1481
scene-0553;21;0.1814;0.0019;56;1532
scene-0553;22;0.1874;0.0013;56;1532
scene-0553;23;0.1835;0.0013;56;1532
scene-0553;24;0.1841;0.0017;57;1584
scene-0553;25;0.1817;0.0012;57;1584
scene-0553;26;0.1736;0.0013;57;1584
scene-0553;27;0.1813;0.0016;58;1635
scene-0553;28;0.1770;0.0013;58;1635
scene-0553;29;0.1750;0.0016;58;1635
scene-0553;30;0.1741;0.0012;58;1635
scene-0553;31;0.1670;0.0012;58;1635
scene-0553;32;0.1589;0.0016;58;1635
scene-0553;33;0.1542;0.0011;58;1635
scene-0553;34;0.1592;0.0016;58;1635
scene-0553;35;0.1411;0.0010;58;1635
scene-0553;36;0.1311;0.0009;58;1635
scene-0553;37;0.1327;0.0009;58;1635
scene-0553;38;0.1271;0.0015;58;1635
scene-0553;39;0.1213;0.0009;58;1635
scene-0655;0;0.1003;0.0007;35;595
scene-0655;1;0.1212;0.0009;38;703
scene-0655;2;0.1519;0.0011;43;903
scene-0655;3;0.1560;0.0014;45;990
scene-0655;4;0.2361;0.0016;55;1485
scene-0655;5;0.3216;0.0021;61;1830
scene-0655;6;0.3408;0.0023;62;1891
scene-0655;7;0.3042;0.0021;63;1949
scene-0655;8;0.3340;0.0028;66;2129
scene-0655;9;0.3570;0.0025;67;2191
scene-0655;10;0.3447;0.0026;67;2191
scene-0655;11;0.3229;0.0025;68;2252
scene-0655;12;0.3225;0.0023;70;2373
scene-0655;13;0.2887;0.0028;71;2432
scene-0655;14;0.2437;0.0023;73;2543
scene-0655;15;0.2425;0.0021;76;2705
scene-0655;16;0.2480;0.0021;77;2760
scene-0655;17;0.2446;0.0019;79;2871
scene-0655;18;0.2056;0.0017;80;2925
scene-0655;19;0.2089;0.0021;82;3034
scene-0655;20;0.2538;0.0024;87;3324
scene-0655;21;0.2825;0.0026;91;3566
scene-0655;22;0.3118;0.0029;96;3881
scene-0655;23;0.3055;0.0029;99;4073
scene-0655;24;0.2947;0.0029;102;4265
scene-0655;25;0.2937;0.0023;103;4331
scene-0655;26;0.3467;0.0026;108;4676
scene-0655;27;0.3636;0.0032;110;4817
scene-0655;28;0.3879;0.0035;116;5240
scene-0655;29;0.4236;0.0036;120;5538
scene-0655;30;0.3249;0.0031;122;5669
scene-0655;31;0.2799;0.0030;126;5907
scene-0655;32;0.2392;0.0024;130;6125
scene-0655;33;0.2673;0.0029;133;6299
scene-0655;34;0.2570;0.0029;133;6299
scene-0655;35;0.2618;0.0029;137;6537
scene-0655;36;0.2161;0.0025;138;6593
scene-0655;37;0.2239;0.0019;140;6706
scene-0655;38;0.1786;0.0015;141;6757
scene-0655;39;0.1417;0.0019;141;6757
scene-0757;0;0.0093;0.0002;12;66
scene-0757;1;0.0092;0.0001;12;66
scene-0757;2;0.0094;0.0001;12;66
scene-0757;3;0.0112;0.0001;13;78
scene-0757;4;0.0112;0.0001;13;78
scene-0757;5;0.0133;0.0001;14;91
scene-0757;6;0.0138;0.0001;14;91
scene-0757;7;0.0135;0.0001;15;104
scene-0757;8;0.0138;0.0001;15;104
scene-0757;9;0.0161;0.0001;17;131
scene-0757;10;0.0162;0.0001;17;131
scene-0757;11;0.0158;0.0001;17;131
scene-0757;12;0.0183;0.0001;18;146
scene-0757;13;0.0138;0.0001;18;146
scene-0757;14;0.0142;0.0001;19;159
scene-0757;15;0.0141;0.0001;19;159
scene-0757;16;0.0164;0.0001;20;173
scene-0757;17;0.0187;0.0001;21;188
scene-0757;18;0.0237;0.0002;23;221
scene-0757;19;0.0236;0.0002;23;221
scene-0757;20;0.0215;0.0001;23;221
scene-0757;21;0.0216;0.0001;23;221
scene-0757;22;0.0216;0.0002;23;221
scene-0757;23;0.0210;0.0001;24;237
scene-0757;24;0.0210;0.0001;24;237
scene-0757;25;0.0237;0.0002;25;254
scene-0757;26;0.0267;0.0002;26;272
scene-0757;27;0.0273;0.0002;26;272
scene-0757;28;0.0237;0.0002;26;272
scene-0757;29;0.0273;0.0002;27;290
scene-0757;30;0.0271;0.0002;27;290
scene-0757;31;0.0236;0.0002;27;290
scene-0757;32;0.0210;0.0002;27;290
scene-0757;33;0.0238;0.0002;28;307
scene-0757;34;0.0267;0.0002;29;325
scene-0757;35;0.0219;0.0001;29;325
scene-0757;36;0.0166;0.0001;29;325
scene-0757;37;0.0169;0.0001;30;339
scene-0757;38;0.0171;0.0001;30;339
scene-0757;39;0.0140;0.0001;30;339
scene-0796;0;0.0376;0.0003;22;231
scene-0796;1;0.0410;0.0003;28;348
scene-0796;2;0.0376;0.0003;28;348
scene-0796;3;0.0454;0.0003;30;393
scene-0796;4;0.0457;0.0003;31;416
scene-0796;5;0.0440;0.0003;31;416
scene-0796;6;0.0465;0.0004;32;439
scene-0796;7;0.0509;0.0003;34;486
scene-0796;8;0.0492;0.0003;34;486
scene-0796;9;0.0576;0.0004;36;537
scene-0796;10;0.0566;0.0004;38;588
scene-0796;11;0.0642;0.0005;40;643
scene-0796;12;0.0560;0.0004;41;669
scene-0796;13;0.1179;0.0003;41;669
scene-0796;14;0.0357;0.0002;41;669
scene-0796;15;0.0363;0.0002;42;690
scene-0796;16;0.0326;0.0003;42;690
scene-0796;17;0.0294;0.0002;42;690
scene-0796;18;0.0263;0.0002;42;690
scene-0796;19;0.0292;0.0002;45;744
scene-0796;20;0.0321;0.0002;46;764
scene-0796;21;0.0284;0.0002;46;764
scene-0796;22;0.0217;0.0002;46;764
scene-0796;23;0.0167;0.0001;47;778
scene-0796;24;0.0193;0.0001;48;793
scene-0796;25;0.0164;0.0001;48;793
scene-0796;26;0.0191;0.0002;49;808
scene-0796;27;0.0218;0.0001;50;824
scene-0796;28;0.0219;0.0001;50;824
scene-0796;29;0.0237;0.0002;51;841
scene-0796;30;0.0236;0.0002;51;841
